product1,product2,combo_freq,profreq1,profreq2,support,cof1_2,conf2_1,lift,meaningful
brown bread,pastry,30,563,774,0.2,3.875969,5.3285966,1.0300577,
beef,shopping bags,30,508,874,0.2,3.4324942,5.905512,1.0109642,
salty snack,sausage,29,281,1362,0.19,2.1292217,10.320285,1.1337159,
grapes,soda,29,216,1824,0.19,1.5899123,13.425926,1.1013087,
onions,small milk,29,303,1317,0.19,2.2019742,9.570957,1.0873246,
butter,large milk,29,527,769,0.19,3.7711313,5.5028462,1.0706578,
butter,citrus fruit,29,527,796,0.19,3.6432161,5.5028462,1.0343416,
canned beer,newspapers,28,702,582,0.19,4.8109965,3.988604,1.0253865,
onions,root vegetables,29,303,1408,0.19,2.059659,9.570957,1.0170501,
domestic eggs,large milk,29,555,769,0.19,3.7711313,5.2252254,1.0166427,
bottled beer,domestic eggs,29,773,555,0.19,5.2252254,3.7516172,1.0113819,
coffee,shopping bags,28,474,874,0.19,3.2036614,5.907173,1.0112486,
margarine,pork,27,482,651,0.18,4.147465,5.60166,1.2874352,
frozen meals,sausage,27,251,1362,0.18,1.9823788,10.756972,1.1816874,
napkins,pastry,26,331,774,0.17,3.359173,7.8549848,1.5184275,
long life bakery product,med milk,26,268,1042,0.17,2.4952016,9.701492,1.39303,
processed cheese,rolls/buns,26,152,2001,0.17,1.2993504,17.105263,1.2790053,
beef,newspapers,25,508,582,0.17,4.2955327,4.92126,1.2651527,
pastry,salad dressing,25,774,403,0.17,6.203474,3.2299743,1.199178,
red/blush wine,rolls/buns,25,157,2001,0.17,1.2493753,15.923567,1.1906468,
herbs,newspapers,25,550,582,0.17,4.2955327,4.5454545,1.1685411,
citrus fruit,salad dressing,25,796,403,0.17,6.203474,3.1407034,1.1660349,
curd,whipped/sour cream,25,503,654,0.17,3.82263,4.970179,1.1370615,
other vegetables,soft cheese,25,2254,150,0.17,16.666666,1.1091393,1.1063294,
cereals,pastry,25,438,774,0.17,3.2299743,5.7077627,1.1033533,
brown bread,pork,26,563,651,0.17,3.9938557,4.6181173,1.0613866,
chocolate,med milk,26,353,1042,0.17,2.4952016,7.365439,1.0575979,
hygiene articles,soda,25,205,1824,0.17,1.370614,12.195122,1.0003476,
